Date,EWCOV_250
2010-05-06,-143547.090723
2010-05-05,-143568.462536
2010-05-04,-143660.769866
2010-04-30,-143898.168821
2010-04-29,-144203.500699
2010-04-28,-144480.842472
2010-04-27,-144778.455664
2010-04-26,-145231.075388
2010-04-23,-145657.795271
2010-04-22,-146030.182382
2010-04-21,-146465.135252
2010-04-20,-146965.374089
2010-04-19,-147414.390749
2010-04-16,-147884.251317
2010-04-15,-148440.5445
2010-04-14,-148973.383412
2010-04-13,-149476.632275
2010-04-12,-150000.95904
2010-04-09,-150523.852285
2010-04-08,-150993.185235
2010-04-07,-151517.092747
2010-04-06,-152064.663372
2010-04-01,-152581.855045
2010-03-31,-153038.384403
2010-03-30,-153492.230061
2010-03-29,-153989.437531
2010-03-26,-154483.884821
2010-03-25,-155008.109197
2010-03-24,-155487.453046
2010-03-23,-155967.32054
2010-03-22,-156422.716689
2010-03-19,-156888.423651
2010-03-18,-157351.319021
2010-03-17,-157820.956523
2010-03-16,-158270.979869
2010-03-15,-158698.913041
2010-03-12,-159163.246077
2010-03-11,-159623.950062
2010-03-10,-160112.849661
2010-03-09,-160568.076565
2010-03-08,-161032.403285
2010-03-05,-161494.512147
2010-03-04,-161888.157626
2010-03-03,-162292.021141
2010-03-02,-162650.642194
2010-03-01,-162934.323657
2010-02-26,-163169.478868
2010-02-25,-163330.618055
2010-02-24,-163559.279244
2010-02-23,-163762.761809
2010-02-22,-164006.183992
2010-02-19,-164258.718401
2010-02-18,-164480.923369
2010-02-17,-164657.031588
2010-02-16,-164802.80132
2010-02-15,-164873.534664
2010-02-12,-164920.643376
2010-02-11,-164988.291114
2010-02-10,-165027.753292
2010-02-09,-165048.178218
2010-02-08,-165050.118605
2010-02-05,-165021.430401
2010-02-04,-165072.549521
2010-02-03,-165239.801324
2010-02-02,-165439.847118
2010-02-01,-165606.319384
2010-01-29,-165715.763716
2010-01-28,-165783.951377
2010-01-27,-165926.071468
2010-01-26,-166130.218227
2010-01-25,-166320.279417
2010-01-22,-166555.918208
2010-01-21,-166826.815543
2010-01-20,-167187.285146
2010-01-19,-167644.699484
2010-01-18,-168087.945665
2010-01-15,-168496.446835
2010-01-14,-168952.380946
2010-01-13,-169388.086817
2010-01-12,-169853.702775
2010-01-11,-170363.783119
2010-01-08,-170875.0372
2010-01-07,-171383.845531
2010-01-06,-171901.075214
2010-01-05,-172415.907143
2010-01-04,-172913.503988
2009-12-31,-173328.003618
2009-12-30,-173731.720113
2009-12-29,-174179.706219
2009-12-24,-174596.815907
2009-12-23,-174988.042943
2009-12-22,-175339.369392
2009-12-21,-175659.547058
2009-12-18,-175885.323741
2009-12-17,-176134.888992
2009-12-16,-176490.991715
2009-12-15,-176816.185624
2009-12-14,-177174.736513
2009-12-11,-177483.044035
2009-12-10,-177777.497802
2009-12-09,-178034.499391
2009-12-08,-178313.927498
2009-12-07,-178684.911655
2009-12-04,-179071.677612
2009-12-03,-179453.082653
2009-12-02,-179853.074883
2009-12-01,-180241.965846
2009-11-30,-180512.51256
2009-11-27,-180841.682139
2009-11-26,-181122.489224
2009-11-25,-181578.630905
2009-11-24,-181998.316695
2009-11-23,-182454.1345
2009-11-20,-182809.685379
2009-11-19,-183185.531045
2009-11-18,-183640.401174
2009-11-17,-184103.763432
2009-11-16,-184608.95109
2009-11-13,-185032.21134
2009-11-12,-185439.819463
2009-11-11,-185841.931668
2009-11-10,-186211.690155
2009-11-09,-186590.164373
2009-11-06,-186879.443605
2009-11-05,-187154.817048
2009-11-04,-187415.568189
2009-11-03,-187608.153877
2009-11-02,-187871.135033
2009-10-30,-188076.754591
2009-10-29,-188378.982339
2009-10-28,-188626.88541
2009-10-27,-188999.356377
2009-10-26,-189366.452412
2009-10-23,-189788.813877
2009-10-22,-190180.093105
2009-10-21,-190626.428793
2009-10-20,-191062.741072
2009-10-19,-191541.971924
2009-10-16,-191934.026719
2009-10-15,-192363.302034
2009-10-14,-192830.399239
2009-10-13,-193199.436984
2009-10-12,-193628.997522
2009-10-09,-194014.328426
2009-10-08,-194396.403754
2009-10-07,-194736.488925
2009-10-06,-195109.647471
2009-10-05,-195372.198053
2009-10-02,-195601.979563
2009-10-01,-195894.189439
2009-09-30,-196276.545981
2009-09-29,-196688.988921
2009-09-28,-197111.80088
2009-09-25,-197454.846268
2009-09-24,-197798.731781
2009-09-23,-198206.970188
2009-09-22,-198622.721355
2009-09-21,-199034.554056
2009-09-18,-199489.51192
2009-09-17,-199940.16061
2009-09-16,-200355.216519
2009-09-15,-200691.955607
2009-09-14,-201009.021114
2009-09-11,-201322.181926
2009-09-10,-201614.874954
2009-09-09,-201927.660295
2009-09-08,-202186.508169
2009-09-07,-202434.229921
2009-09-04,-202602.79482
2009-09-03,-202718.380722
2009-09-02,-202856.769322
2009-09-01,-202999.49518
2009-08-28,-203234.291929
2009-08-27,-203432.165358
2009-08-26,-203654.006445
2009-08-25,-203905.047862
2009-08-24,-204138.348247
2009-08-21,-204328.866707
2009-08-20,-204426.866038
2009-08-19,-204459.223195
2009-08-18,-204488.916955
2009-08-17,-204478.729541
2009-08-14,-204539.02255
2009-08-13,-204642.641205
2009-08-12,-204709.089327
2009-08-11,-204731.213739
2009-08-10,-204805.832725
2009-08-07,-204891.534594
2009-08-06,-204937.502743
2009-08-05,-204941.099553
2009-08-04,-204970.228465
2009-08-03,-205011.788533
2009-07-31,-204979.995268
2009-07-30,-204972.341013
2009-07-29,-204880.857808
2009-07-28,-204770.79763
2009-07-27,-204718.621707
2009-07-24,-204657.458428
2009-07-23,-204579.87697
2009-07-22,-204436.049475
2009-07-21,-204279.474371
2009-07-20,-204084.747659
2009-07-17,-203834.224748
2009-07-16,-203555.480771
2009-07-15,-203260.083026
2009-07-14,-202853.646745
2009-07-13,-202409.068004
2009-07-10,-201886.424775
2009-07-09,-201392.344653
2009-07-08,-200876.655453
2009-07-07,-200405.008107
2009-07-06,-199938.543915
2009-07-03,-199511.073585
2009-07-02,-199079.161727
2009-07-01,-198752.043347
2009-06-30,-198331.070603
2009-06-29,-197952.884423
2009-06-26,-197519.242932
2009-06-25,-197094.819582
2009-06-24,-196695.615322
2009-06-23,-196243.811027
2009-06-22,-195793.417943
2009-06-19,-195453.214071
2009-06-18,-195045.763582
2009-06-17,-194633.629153
2009-06-16,-194269.694849
2009-06-15,-193901.224526
2009-06-12,-193647.734362
2009-06-11,-193413.276003
2009-06-10,-193152.640871
2009-06-09,-192858.663287
2009-06-08,-192563.735683
2009-06-05,-192301.115488
2009-06-04,-191985.278665
2009-06-03,-191664.384919
2009-06-02,-191436.273553
2009-06-01,-191236.772537
2009-05-29,-190947.667899
2009-05-28,-190626.60499
2009-05-27,-190332.901818
2009-05-26,-190033.311471
2009-05-22,-189685.550117
2009-05-21,-189316.044496
2009-05-20,-189068.466138
2009-05-19,-188833.918878
2009-05-18,-188562.408187
2009-05-15,-188190.534357
2009-05-14,-187831.298086
2009-05-13,-187438.733814
2009-05-12,-187138.88027
2009-05-11,-186847.706618
2009-05-08,-186582.015908
2009-05-07,-186251.289931
2009-05-06,-185916.697883
2009-05-05,-185520.347665
2009-05-01,-185027.369333
2009-04-30,-184531.943384
2009-04-29,-183979.011604
2009-04-28,-183328.698042
2009-04-27,-182745.336179
2009-04-24,-182147.208357
2009-04-23,-181406.377501
2009-04-22,-180673.204629
2009-04-21,-179891.603863
2009-04-20,-179108.160521
2009-04-17,-178422.150967
2009-04-16,-177691.519649
2009-04-15,-176870.748321
2009-04-14,-176065.157946
2009-04-09,-175248.762428
2009-04-08,-174368.150078
2009-04-07,-173486.512729
2009-04-06,-172662.308012
2009-04-03,-171868.981972
2009-04-02,-171166.357329
2009-04-01,-170288.336504
2009-03-31,-169374.534388
2009-03-30,-168289.889684
2009-03-27,-167334.633376
2009-03-26,-166399.223604
2009-03-25,-165432.208533
2009-03-24,-164469.724264
2009-03-23,-163542.148957
2009-03-20,-162497.348547
2009-03-19,-161418.955363
2009-03-18,-160320.912835
2009-03-17,-159267.577196
2009-03-16,-158213.744482
2009-03-13,-157041.269337
2009-03-12,-155818.450617
2009-03-11,-154568.371104
2009-03-10,-153330.830711
2009-03-09,-151910.170316
2009-03-06,-150467.313049
2009-03-05,-149013.068174
2009-03-04,-147665.082376
2009-03-03,-146172.402716
2009-03-02,-144783.354947
2009-02-27,-143590.099164
2009-02-26,-142474.453775
2009-02-25,-141283.720472
2009-02-24,-140051.569231
2009-02-23,-138845.104727
2009-02-20,-137668.666211
2009-02-19,-136614.124975
2009-02-18,-135540.428389
2009-02-17,-134486.635043
2009-02-16,-133526.89436
2009-02-13,-132615.69311
2009-02-12,-131710.882211
2009-02-11,-130832.169619
2009-02-10,-129926.036845
2009-02-09,-129108.892964
2009-02-06,-128270.367606
2009-02-05,-127362.609113
2009-02-04,-126448.265009
2009-02-03,-125462.969949
2009-02-02,-124383.372519
2009-01-30,-123368.488363
2009-01-29,-122387.28586
2009-01-28,-121505.154421
2009-01-27,-120515.335982
2009-01-26,-119533.292496
2009-01-23,-118386.612115
2009-01-22,-117231.427071
2009-01-21,-116075.733313
2009-01-20,-114943.517918
2009-01-19,-113820.453805
2009-01-16,-112728.287169
2009-01-15,-111602.147307
2009-01-14,-110527.948088
2009-01-13,-109666.383816
2009-01-12,-108826.225051
2009-01-09,-108002.805172
2009-01-08,-107231.136539
2009-01-07,-106456.394664
2009-01-06,-105808.893416
2009-01-05,-105097.423082
2009-01-02,-104363.303187
2008-12-31,-103495.669879
2008-12-30,-102580.242328
2008-12-29,-101584.581223
2008-12-24,-100478.305168
2008-12-23,-99403.8678602
2008-12-22,-98314.9539474
2008-12-19,-97256.3045815
2008-12-18,-96234.3118473
2008-12-17,-95198.5661593
2008-12-16,-94140.2879758
2008-12-15,-93042.7645861
2008-12-12,-91940.2562695
2008-12-11,-90939.0703761
2008-12-10,-89909.2789735
2008-12-09,-88886.3366359
2008-12-08,-87774.3337173
2008-12-05,-86401.6934259
2008-12-04,-85134.1532124
2008-12-03,-83863.8913909
2008-12-02,-82536.956382
2008-12-01,-81142.5102485
2008-11-28,-79962.1589252
2008-11-27,-78710.9377117
2008-11-26,-77376.6850026
2008-11-25,-76051.4728339
2008-11-24,-74698.177435
2008-11-21,-72960.0322738
2008-11-20,-71303.6891596
2008-11-19,-69766.7999159
2008-11-18,-68423.003128
2008-11-17,-66992.5079724
2008-11-14,-65653.1405666
2008-11-13,-64239.710772
2008-11-12,-62828.8389709
2008-11-11,-61472.8625771
2008-11-10,-60265.4654894
2008-11-07,-59010.1660154
2008-11-06,-57652.4480717
2008-11-05,-56545.207494
2008-11-04,-55539.7553454
2008-11-03,-54329.4594044
2008-10-31,-53043.9201225
2008-10-30,-51662.6749026
2008-10-29,-50221.8489982
2008-10-28,-48451.8192713
2008-10-27,-46594.1876991
2008-10-24,-44753.6908132
2008-10-23,-43105.4606189
2008-10-22,-41397.7229532
2008-10-21,-39867.5930171
2008-10-20,-38379.6066156
2008-10-17,-36659.2118896
2008-10-16,-34722.7874871
2008-10-15,-32991.7701176
2008-10-14,-31564.9839338
2008-10-13,-29989.3428409
2008-10-10,-28074.645193
2008-10-09,-26530.3423431
2008-10-08,-25027.9683861
2008-10-07,-23754.9508631
2008-10-06,-22456.5878178
2008-10-03,-21543.0455513
2008-10-02,-20512.2900938
2008-10-01,-19564.2807773
2008-09-30,-18552.1063257
2008-09-29,-17448.4377018
2008-09-26,-16608.7785669
2008-09-25,-15872.7547
2008-09-24,-15029.6125691
2008-09-23,-14221.5315455
2008-09-22,-13508.9727628
2008-09-19,-12867.301058
2008-09-18,-11786.7191388
2008-09-17,-10731.1261199
2008-09-16,-9782.17171119
2008-09-15,-9006.63774903
2008-09-12,-8440.08945786
