Date,Equity,Peak,Drawdown
2001-01-16,81.2809140847,113.229781664,0.282159579483
2001-01-15,80.1508037295,113.229781664,0.292140260702
2001-01-12,80.2132518049,113.229781664,0.291588744356
2001-01-11,80.8825443104,113.229781664,0.28567782149
2001-01-10,81.6137635562,113.229781664,0.279219986502
2001-01-09,81.2467711928,113.229781664,0.282461115805
2001-01-08,80.4422959101,113.229781664,0.289565918719
2001-01-05,79.8177239267,113.229781664,0.295081887877
2001-01-04,79.9793479971,113.229781664,0.293654488936
2001-01-03,81.9563747358,113.229781664,0.276194182031
2001-01-02,81.9563747358,113.229781664,0.276194182031
2000-12-29,81.9563747358,113.229781664,0.276194182031
2000-12-28,81.9563747358,113.229781664,0.276194182031
2000-12-27,81.9563747358,113.229781664,0.276194182031
2000-12-22,81.9563747358,113.229781664,0.276194182031
2000-12-21,81.9563747358,113.229781664,0.276194182031
2000-12-20,81.9563747358,113.229781664,0.276194182031
2000-12-19,81.9563747358,113.229781664,0.276194182031
2000-12-18,81.9563747358,113.229781664,0.276194182031
2000-12-15,81.9563747358,113.229781664,0.276194182031
2000-12-14,81.9563747358,113.229781664,0.276194182031
2000-12-13,81.9563747358,113.229781664,0.276194182031
2000-12-12,81.9563747358,113.229781664,0.276194182031
2000-12-11,81.9563747358,113.229781664,0.276194182031
2000-12-08,81.9563747358,113.229781664,0.276194182031
2000-12-07,81.9563747358,113.229781664,0.276194182031
2000-12-06,81.9563747358,113.229781664,0.276194182031
2000-12-05,81.9563747358,113.229781664,0.276194182031
2000-12-04,81.9563747358,113.229781664,0.276194182031
2000-12-01,81.9563747358,113.229781664,0.276194182031
2000-11-30,81.9563747358,113.229781664,0.276194182031
2000-11-29,81.9563747358,113.229781664,0.276194182031
2000-11-28,81.9563747358,113.229781664,0.276194182031
2000-11-27,81.9563747358,113.229781664,0.276194182031
2000-11-24,81.9563747358,113.229781664,0.276194182031
2000-11-23,81.9563747358,113.229781664,0.276194182031
2000-11-22,81.9563747358,113.229781664,0.276194182031
2000-11-21,81.9563747358,113.229781664,0.276194182031
