Date,EWGRAD_250
2010-12-01,-0.917326361389
2010-11-30,-0.911162221605
2010-11-29,-0.905549479105
2010-11-26,-0.903336827944
2010-11-25,-0.902269358754
2010-11-24,-0.899812041484
2010-11-23,-0.895180029428
2010-11-22,-0.893642806279
2010-11-19,-0.894149183012
2010-11-18,-0.89628453023
2010-11-17,-0.895460576025
2010-11-16,-0.894327979434
2010-11-15,-0.899236056234
2010-11-12,-0.903222714684
2010-11-11,-0.90832580482
2010-11-10,-0.913764080936
2010-11-09,-0.922699778418
2010-11-08,-0.930589186938
2010-11-05,-0.940372497804
2010-11-04,-0.949851955205
2010-11-03,-0.953359055624
2010-11-02,-0.957492990077
2010-11-01,-0.958760589339
2010-10-29,-0.959288750448
2010-10-28,-0.960053911436
2010-10-27,-0.959566006358
2010-10-26,-0.961927183576
2010-10-25,-0.966734459927
2010-10-22,-0.971214146901
2010-10-21,-0.976829003011
2010-10-20,-0.981123149926
2010-10-19,-0.984325426375
2010-10-18,-0.98980340535
2010-10-15,-0.993405684128
2010-10-14,-0.998511892017
2010-10-13,-1.0050474165
2010-10-12,-1.00716071903
2010-10-11,-1.00998901524
2010-10-08,-1.01223484998
2010-10-07,-1.01487764303
2010-10-06,-1.0187283428
2010-10-05,-1.02039715269
2010-10-04,-1.01857893225
2010-10-01,-1.01843921518
2010-09-30,-1.01650687435
2010-09-29,-1.01552160178
2010-09-28,-1.01502971152
2010-09-27,-1.01442260003
2010-09-24,-1.01505694062
2010-09-23,-1.01354748176
2010-09-22,-1.01232675997
2010-09-21,-1.01225390345
2010-09-20,-1.01351694016
2010-09-17,-1.01087215212
2010-09-16,-1.00955281287
2010-09-15,-1.00898064077
2010-09-14,-1.00903098033
2010-09-13,-1.00911003611
2010-09-10,-1.00665534482
2010-09-09,-1.00399964214
2010-09-08,-0.999247486268
2010-09-07,-0.993923572107
2010-09-06,-0.989580058301
2010-09-03,-0.984962072142
2010-09-02,-0.978880148214
2010-09-01,-0.972750750898
2010-08-31,-0.964419332565
2010-08-27,-0.955976615807
2010-08-26,-0.947405773111
2010-08-25,-0.938908395213
2010-08-24,-0.930484868566
2010-08-23,-0.922586685078
2010-08-20,-0.914461927745
2010-08-19,-0.906509854149
2010-08-18,-0.899633410352
2010-08-17,-0.89362214916
2010-08-16,-0.886501015603
2010-08-13,-0.879433755343
2010-08-12,-0.872317879992
2010-08-11,-0.865042976142
2010-08-10,-0.859783092863
2010-08-09,-0.85530332794
2010-08-06,-0.849348324327
2010-08-05,-0.844038556971
2010-08-04,-0.839181360449
2010-08-03,-0.834588241194
2010-08-02,-0.830058046295
2010-07-30,-0.823369464274
2010-07-29,-0.817452290739
2010-07-28,-0.81167315905
2010-07-27,-0.806707776069
2010-07-26,-0.801535335058
2010-07-23,-0.795810176065
2010-07-22,-0.79015400308
2010-07-21,-0.783462156798
2010-07-20,-0.776437320074
2010-07-19,-0.769500294235
2010-07-16,-0.762662061535
2010-07-15,-0.756173585172
2010-07-14,-0.750094654638
2010-07-13,-0.744245542832
2010-07-12,-0.737670077974
2010-07-09,-0.731035083
2010-07-08,-0.724412329892
2010-07-07,-0.717995732959
2010-07-06,-0.711907317451
2010-07-05,-0.707379982539
2010-07-02,-0.702698389918
2010-07-01,-0.698538370109
2010-06-30,-0.693044728946
2010-06-29,-0.687625726221
2010-06-28,-0.68138369539
2010-06-25,-0.675248490312
2010-06-24,-0.669090703053
2010-06-23,-0.663129874042
2010-06-22,-0.657587046982
2010-06-21,-0.652517414494
2010-06-18,-0.647097281108
2010-06-17,-0.641746619004
2010-06-16,-0.636335099142
2010-06-15,-0.630852707861
2010-06-14,-0.625338874634
2010-06-11,-0.619724973155
2010-06-10,-0.614086131735
2010-06-09,-0.60846154058
2010-06-08,-0.60296503623
2010-06-07,-0.59744525629
2010-06-04,-0.591986308669
2010-06-03,-0.586828981889
2010-06-02,-0.581509892266
2010-06-01,-0.576267408227
2010-05-28,-0.571150642989
2010-05-27,-0.566104014447
2010-05-26,-0.560935931889
2010-05-25,-0.556143841662
2010-05-24,-0.551024319894
2010-05-21,-0.545953645784
2010-05-20,-0.540919483082
2010-05-19,-0.536004277027
2010-05-18,-0.531826580784
2010-05-17,-0.527404104806
2010-05-14,-0.523022717991
2010-05-13,-0.520068537667
2010-05-12,-0.516646067164
2010-05-11,-0.512842642542
2010-05-10,-0.509518979165
2010-05-07,-0.50483630373
2010-05-06,-0.500660915737
2010-05-05,-0.497043504982
2010-05-04,-0.494046580194
2010-04-30,-0.492697885192
2010-04-29,-0.492302150919
2010-04-28,-0.491488382303
2010-04-27,-0.490958895939
2010-04-26,-0.49302197635
2010-04-23,-0.494610483712
2010-04-22,-0.495245563965
2010-04-21,-0.496981170829
2010-04-20,-0.499998211617
