Date,EWMA_250
2010-03-17,6432.5
2010-03-16,6431.5
2010-03-15,6430.5
2010-03-12,6429.5
2010-03-11,6428.5
2010-03-10,6427.5
2010-03-09,6426.5
2010-03-08,6425.5
2010-03-05,6424.5
2010-03-04,6423.5
2010-03-03,6422.5
2010-03-02,6421.5
2010-03-01,6420.5
2010-02-26,6419.5
2010-02-25,6418.5
2010-02-24,6417.5
2010-02-23,6416.5
2010-02-22,6415.5
2010-02-19,6414.5
2010-02-18,6413.5
2010-02-17,6412.5
2010-02-16,6411.5
2010-02-15,6410.5
2010-02-12,6409.5
2010-02-11,6408.5
2010-02-10,6407.5
2010-02-09,6406.5
2010-02-08,6405.5
2010-02-05,6404.5
2010-02-04,6403.5
2010-02-03,6402.5
2010-02-02,6401.5
2010-02-01,6400.5
2010-01-29,6399.5
2010-01-28,6398.5
2010-01-27,6397.5
2010-01-26,6396.5
2010-01-25,6395.5
2010-01-22,6394.5
2010-01-21,6393.5
2010-01-20,6392.5
2010-01-19,6391.5
2010-01-18,6390.5
2010-01-15,6389.5
2010-01-14,6388.5
2010-01-13,6387.5
2010-01-12,6386.5
2010-01-11,6385.5
2010-01-08,6384.5
2010-01-07,6383.5
2010-01-06,6382.5
2010-01-05,6381.5
2010-01-04,6380.5
2009-12-31,6379.5
2009-12-30,6378.5
2009-12-29,6377.5
2009-12-24,6376.5
2009-12-23,6375.5
2009-12-22,6374.5
2009-12-21,6373.5
2009-12-18,6372.5
2009-12-17,6371.5
2009-12-16,6370.5
2009-12-15,6369.5
2009-12-14,6368.5
2009-12-11,6367.5
2009-12-10,6366.5
2009-12-09,6365.5
2009-12-08,6364.5
2009-12-07,6363.5
2009-12-04,6362.5
2009-12-03,6361.5
2009-12-02,6360.5
2009-12-01,6359.5
2009-11-30,6358.5
2009-11-27,6357.5
2009-11-26,6356.5
2009-11-25,6355.5
2009-11-24,6354.5
2009-11-23,6353.5
2009-11-20,6352.5
2009-11-19,6351.5
2009-11-18,6350.5
2009-11-17,6349.5
2009-11-16,6348.5
2009-11-13,6347.5
2009-11-12,6346.5
2009-11-11,6345.5
2009-11-10,6344.5
2009-11-09,6343.5
2009-11-06,6342.5
2009-11-05,6341.5
2009-11-04,6340.5
2009-11-03,6339.5
2009-11-02,6338.5
2009-10-30,6337.5
2009-10-29,6336.5
2009-10-28,6335.5
2009-10-27,6334.5
2009-10-26,6333.5
2009-10-23,6332.5
2009-10-22,6331.5
2009-10-21,6330.5
2009-10-20,6329.5
2009-10-19,6328.5
2009-10-16,6327.5
2009-10-15,6326.5
2009-10-14,6325.5
2009-10-13,6324.5
2009-10-12,6323.5
2009-10-09,6322.5
2009-10-08,6321.5
2009-10-07,6320.5
2009-10-06,6319.5
2009-10-05,6318.5
2009-10-02,6317.5
2009-10-01,6316.5
2009-09-30,6315.5
2009-09-29,6314.5
2009-09-28,6313.5
2009-09-25,6312.5
2009-09-24,6311.5
2009-09-23,6310.5
2009-09-22,6309.5
2009-09-21,6308.5
2009-09-18,6307.5
2009-09-17,6306.5
2009-09-16,6305.5
2009-09-15,6304.5
2009-09-14,6303.5
2009-09-11,6302.5
2009-09-10,6301.5
2009-09-09,6300.5
2009-09-08,6299.5
2009-09-07,6298.5
2009-09-04,6297.5
2009-09-03,6296.5
2009-09-02,6295.5
2009-09-01,6294.5
2009-08-28,6293.5
2009-08-27,6292.5
2009-08-26,6291.5
2009-08-25,6290.5
2009-08-24,6289.5
2009-08-21,6288.5
2009-08-20,6287.5
2009-08-19,6286.5
2009-08-18,6285.5
2009-08-17,6284.5
2009-08-14,6283.5
2009-08-13,6282.5
2009-08-12,6281.5
2009-08-11,6280.5
2009-08-10,6279.5
2009-08-07,6278.5
2009-08-06,6277.5
2009-08-05,6276.5
2009-08-04,6275.5
2009-08-03,6274.5
2009-07-31,6273.5
2009-07-30,6272.5
2009-07-29,6271.5
2009-07-28,6270.5
2009-07-27,6269.5
2009-07-24,6268.5
2009-07-23,6267.5
2009-07-22,6266.5
2009-07-21,6265.5
2009-07-20,6264.5
2009-07-17,6263.5
2009-07-16,6262.5
2009-07-15,6261.5
2009-07-14,6260.5
2009-07-13,6259.5
2009-07-10,6258.5
2009-07-09,6257.5
2009-07-08,6256.5
2009-07-07,6255.5
2009-07-06,6254.5
2009-07-03,6253.5
2009-07-02,6252.5
2009-07-01,6251.5
2009-06-30,6250.5
2009-06-29,6249.5
2009-06-26,6248.5
2009-06-25,6247.5
2009-06-24,6246.5
2009-06-23,6245.5
2009-06-22,6244.5
2009-06-19,6243.5
2009-06-18,6242.5
2009-06-17,6241.5
2009-06-16,6240.5
2009-06-15,6239.5
2009-06-12,6238.5
2009-06-11,6237.5
2009-06-10,6236.5
2009-06-09,6235.5
2009-06-08,6234.5
2009-06-05,6233.5
2009-06-04,6232.5
2009-06-03,6231.5
2009-06-02,6230.5
2009-06-01,6229.5
2009-05-29,6228.5
2009-05-28,6227.5
2009-05-27,6226.5
2009-05-26,6225.5
2009-05-22,6224.5
2009-05-21,6223.5
2009-05-20,6222.5
2009-05-19,6221.5
2009-05-18,6220.5
2009-05-15,6219.5
2009-05-14,6218.5
2009-05-13,6217.5
2009-05-12,6216.5
2009-05-11,6215.5
2009-05-08,6214.5
2009-05-07,6213.5
2009-05-06,6212.5
2009-05-05,6211.5
2009-05-01,6210.5
2009-04-30,6209.5
2009-04-29,6208.5
2009-04-28,6207.5
2009-04-27,6206.5
2009-04-24,6205.5
2009-04-23,6204.5
2009-04-22,6203.5
2009-04-21,6202.5
2009-04-20,6201.5
2009-04-17,6200.5
2009-04-16,6199.5
2009-04-15,6198.5
2009-04-14,6197.5
2009-04-09,6196.5
2009-04-08,6195.5
2009-04-07,6194.5
2009-04-06,6193.5
2009-04-03,6192.5
2009-04-02,6191.5
2009-04-01,6190.5
2009-03-31,6189.5
2009-03-30,6188.5
2009-03-27,6187.5
2009-03-26,6186.5
2009-03-25,6185.5
2009-03-24,6184.5
2009-03-23,6183.5
2009-03-20,6182.5
2009-03-19,6181.5
2009-03-18,6180.5
2009-03-17,6179.5
2009-03-16,6178.5
2009-03-13,6177.5
2009-03-12,6176.5
2009-03-11,6175.5
2009-03-10,6174.5
2009-03-09,6173.5
2009-03-06,6172.5
2009-03-05,6171.5
2009-03-04,6170.5
2009-03-03,6169.5
2009-03-02,6168.5
2009-02-27,6167.5
2009-02-26,6166.5
2009-02-25,6165.5
2009-02-24,6164.5
2009-02-23,6163.5
2009-02-20,6162.5
2009-02-19,6161.5
2009-02-18,6160.5
2009-02-17,6159.5
2009-02-16,6158.5
2009-02-13,6157.5
2009-02-12,6156.5
2009-02-11,6155.5
2009-02-10,6154.5
2009-02-09,6153.5
2009-02-06,6152.5
2009-02-05,6151.5
2009-02-04,6150.5
2009-02-03,6149.5
2009-02-02,6148.5
2009-01-30,6147.5
2009-01-29,6146.5
2009-01-28,6145.5
2009-01-27,6144.5
2009-01-26,6143.5
2009-01-23,6142.5
2009-01-22,6141.5
2009-01-21,6140.5
2009-01-20,6139.5
