Date,Position,Equity,Debt
2010-01-13,1,493.953614295,0.0
2010-01-12,1,496.227777276,0.0
2010-01-11,1,499.783413049,0.0
2010-01-08,1,499.431459255,0.0
2010-01-07,1,498.754625034,0.0
2010-01-06,1,499.052432091,0.0
2010-01-05,1,498.37559787,0.0
2010-01-04,1,496.372168577,0.0
2009-12-31,1,488.484793791,0.0
2009-12-30,1,487.13112535,0.0
2009-12-29,1,490.713834491,0.0
2009-12-24,1,487.537225882,0.0
2009-12-23,1,484.829888999,0.0
2009-12-22,1,480.886201606,0.0
2009-12-21,1,477.754715278,0.0
2009-12-18,1,468.982943778,0.0
2009-12-17,1,470.860030683,0.0
2009-12-16,1,480.128147279,0.0
2009-12-15,1,477.014709864,0.0
2009-12-14,1,479.676924465,0.0
2009-12-11,1,474.830791445,0.0
2009-12-10,1,473.278584965,0.0
2009-12-09,1,469.623680173,0.0
2009-12-08,1,471.356375778,0.0
2009-12-07,1,479.261799477,0.0
2009-12-04,1,480.317660861,0.0
2009-12-03,1,479.469361971,0.0
2009-12-02,1,480.768883675,0.0
2009-12-01,1,479.397166321,0.0
2009-11-30,1,468.432451945,0.0
2009-11-27,1,473.395902897,0.0
2009-11-26,1,468.739283458,0.0
2009-11-25,1,484.144030322,0.0
2009-11-24,1,480.462052161,0.0
2009-11-23,1,483.304755888,0.0
2009-11-20,1,473.910296905,0.0
2009-11-19,1,475.381283278,0.0
2009-11-18,1,482.095478747,0.0
2009-11-17,1,482.438408086,0.0
2009-11-16,1,485.759407996,0.0
2009-11-13,1,477.971302229,0.0
2009-11-12,1,476.17543543,0.0
2009-11-11,1,475.300063171,0.0
2009-11-10,1,472.024185543,0.0
2009-11-09,1,472.448334988,0.0
2009-11-06,1,464.100712932,0.0
2009-11-05,1,462.557530909,0.0
2009-11-04,1,460.960202148,0.0
2009-11-03,1,454.57991156,0.0
2009-11-02,1,460.653370634,0.0
2009-10-30,1,455.238696869,0.0
2009-10-29,1,463.649490118,0.0
2009-10-28,1,458.478476672,0.0
2009-10-27,1,469.361970941,0.0
2009-10-26,1,468.522696508,0.0
2009-10-23,1,473.116144752,0.0
2009-10-22,1,469.939536143,0.0
2009-10-21,1,474.496886563,0.0
2009-10-20,1,473.188340402,0.0
2009-10-19,1,476.626658244,0.0
2009-10-16,1,468.387329663,0.0
2009-10-15,1,471.347351322,0.0
2009-10-14,1,474.33444635,0.0
2009-10-13,1,465.129500948,0.0
2009-10-12,1,470.192220919,0.0
2009-10-09,1,465.833408537,0.0
2009-10-08,1,465.174623229,0.0
2009-10-07,1,461.050446711,0.0
2009-10-06,1,463.676563487,0.0
2009-10-05,1,453.415756701,0.0
2009-10-02,1,450.203050266,0.0
2009-10-01,1,455.536503926,0.0
2009-09-30,1,463.30656078,0.0
2009-09-29,1,465.634870499,0.0
2009-09-28,1,466.176337876,0.0
2009-09-25,1,458.640916885,0.0
2009-09-24,1,458.379207653,0.0
2009-09-23,1,463.802905875,0.0
2009-09-22,1,464.091688476,0.0
2009-09-21,1,463.351683061,0.0
2009-09-18,1,466.826098728,0.0
2009-09-17,1,466.022922119,0.0
2009-09-16,1,462.422164065,0.0
2009-09-15,1,455.022109918,0.0
2009-09-14,1,452.928436062,0.0
2009-09-11,1,452.260626297,0.0
2009-09-10,1,450.112805703,0.0
2009-09-09,1,451.610865445,0.0
2009-09-08,1,446.466925368,0.0
2009-09-07,1,445.194477033,0.0
2009-09-04,1,437.839545167,0.0
2009-09-03,1,432.885118672,0.0
2009-09-02,1,434.753181121,0.0
2009-09-01,1,434.951719159,0.0
2009-08-28,1,443.001534158,0.0
2009-08-27,1,439.436873928,0.0
2009-08-26,1,441.350058659,0.0
2009-08-25,1,443.714466203,0.0
2009-08-24,1,441.85542821,0.0
2009-08-21,1,437.767349517,0.0
2009-08-20,1,429.257287248,0.0
2009-08-19,1,423.219925999,0.0
2009-08-18,1,422.867972205,0.0
2009-08-17,1,419.185994044,0.0
2009-08-14,1,425.412868875,0.0
2009-08-13,1,429.158018229,0.0
2009-08-12,1,425.66555365,0.0
2009-08-11,1,421.559426045,0.0
2009-08-10,1,426.152874289,0.0
2009-08-07,1,427.001173179,0.0
2009-08-06,1,423.29212165,0.0
2009-08-05,1,419.375507626,0.0
2009-08-04,1,421.568450501,0.0
2009-08-03,1,422.570165148,0.0
2009-07-31,1,415.883043047,0.0
2009-07-30,1,417.976716903,0.0
2009-07-29,1,410.387149174,0.0
2009-07-28,1,408.699575851,0.0
2009-07-27,1,413.870589297,0.0
2009-07-24,1,413.013265951,0.0
2009-07-23,1,411.497157296,0.0
2009-07-22,1,405.531991698,0.0
2009-07-21,1,404.403934663,0.0
2009-07-20,1,401.010739103,0.0
2009-07-17,1,396.065337063,0.0
2009-07-16,1,393.628733869,0.0
2009-07-15,1,392.247992058,0.0
2009-07-14,1,382.42938363,0.0
2009-07-13,1,379.216677195,0.0
2009-07-10,1,372.457359444,0.0
2009-07-09,1,375.300063171,0.0
2009-07-08,1,373.63053876,0.0
2009-07-07,1,377.853984297,0.0
2009-07-06,1,378.566916343,0.0
2009-07-03,1,382.303041242,0.0
2009-07-02,1,382.122552116,0.0
2009-07-01,1,391.724573594,0.0
2009-06-30,1,383.467196101,0.0
2009-06-29,1,387.510152513,0.0
2009-06-26,1,382.727190687,0.0
2009-06-25,1,383.774027615,0.0
2009-06-24,1,386.246728635,0.0
2009-06-23,1,381.734500496,0.0
2009-06-22,1,382.095478747,0.0
2009-06-19,1,392.193845321,0.0
2009-06-18,1,386.327948741,0.0
2009-06-17,1,386.11136179,0.0
2009-06-16,1,390.632614385,0.0
2009-06-15,1,390.397978522,0.0
2009-06-12,1,400.866347803,0.0
2009-06-11,1,402.662214602,0.0
2009-06-10,1,400.397076076,0.0
2009-06-09,1,397.509250068,0.0
2009-06-08,1,397.545347893,0.0
2009-06-05,1,400.559516289,0.0
2009-06-04,1,395.893872394,0.0
2009-06-03,1,395.578016425,0.0
2009-06-02,1,404.024907499,0.0
2009-06-01,1,406.660048732,0.0
2009-05-29,1,398.69145384,0.0
2009-05-28,1,395.948019132,0.0
2009-05-27,1,398.538038083,0.0
2009-05-26,1,398.131937551,0.0
2009-05-22,1,393.944589838,0.0
