Date,EWATR_20
2011-09-19,27.006176296795786
2011-09-15,26.30051064382693
2011-09-14,27.3047749221245
2011-09-13,28.08738280866392
2011-09-12,27.07658099904959
2011-09-08,29.027800051581117
2011-09-07,32.0002000570107
2011-09-06,35.21601058932762
2011-09-05,36.98085380925684
2011-08-25,40.701996315494405
2011-08-24,44.14220645396749
2011-08-23,48.3434913438588
2011-08-22,49.80806938005446
2011-08-18,54.547866156902295
2011-08-17,57.78237838394465
2011-08-16,62.35210242435988
2011-08-11,56.39127110060828
2011-08-10,51.66298384804072
2011-08-08,48.14750846362394
2011-08-03,51.33671988084751
2011-08-02,53.464795657778836
2011-08-01,56.87266888491346
2011-07-28,62.12031824122014
2011-07-27,66.56772016134857
2011-07-26,71.03590123096421
2011-07-25,74.98915399211833
2011-07-21,79.03432809655185
2011-07-20,83.38531000145205
2011-07-19,87.33639526476279
2011-07-18,91.70338424000096
2011-07-14,98.64689837052738
2011-07-13,104.43288767268817
2011-07-12,110.89213900665536
2011-07-11,114.58815363893487
2011-07-07,118.67322244303327
2011-07-06,120.20619322651045
2011-07-05,121.90052935561681
2011-07-04,124.0584798141028
2011-06-30,127.68884611032415
2011-06-29,129.43188254298985
2011-06-28,131.35839649488352
2011-06-27,130.90454349434495
2011-06-23,130.40291649374967
2011-06-22,128.5316445457233
2011-06-21,124.64444923474682
2011-06-20,120.34807546998334
2011-06-15,114.29839920366581
2011-06-14,107.61191490931485
2011-06-13,101.57001121555852
2011-06-09,96.10790713298574
2011-06-08,92.2308447259316
2011-06-07,88.76040732866126
2011-06-06,85.36887125799402
2011-06-02,79.1771734956776
2011-06-01,72.33371807416997
2011-05-31,65.19726734513523
2011-05-26,60.92329548672842
2011-05-25,57.589958169541944
2011-05-24,52.78153271370425
2011-05-23,47.466957209883645
2011-05-19,43.32558428460825
2011-05-18,40.117751051409115
2011-05-17,36.576461688399554
2011-05-16,34.581352392441616
2011-05-12,35.60781053901442
2011-05-11,37.13179059575278
