Date,EWSTDEV_14,EWSTDEV_25,EWSTDEV_50,EWSTDEV_100,EWSTDEV_250,EWSTDEV_500
2001-06-13,60.1986463708,79.2167568893,137.240229309,223.896929114,301.591477167,457.825814706
2001-06-12,57.085777381,80.0236174909,139.460931048,225.513778058,301.765542572,458.374659885
2001-06-11,60.2805163048,83.1674047811,142.272819803,227.596662532,302.305685431,459.05207596
2001-06-08,59.735434922,83.6805917086,144.120430935,229.855848386,303.272750595,459.879130566
2001-06-07,57.8001941664,83.9207339726,145.991367202,232.141872228,304.232114497,460.704321205
2001-06-06,60.8297005251,86.6278271682,148.696461401,234.451749831,304.989204226,461.4604337
2001-06-05,61.0864879359,88.2611332074,151.124683501,236.807842294,305.841835499,462.250921547
2001-06-04,65.6090899326,91.8649981315,154.177949007,238.985505889,306.341614758,462.922400779
2001-06-01,67.2845946722,94.5939923074,157.004764454,240.804262846,306.511102391,463.485184641
2001-05-31,65.8097918657,96.5739288875,159.67354759,242.477622716,306.560548856,464.011783767
2001-05-30,61.9010233796,98.4009302171,162.376723946,244.151766245,306.597694792,464.538786247
2001-05-29,65.5486801406,102.397467435,165.657225478,246.399220129,307.092513469,465.221979273
2001-05-25,70.3830763465,106.4361208,168.911909779,248.788847007,307.732069105,465.955684174
2001-05-24,75.0982752325,109.9178852,171.960844384,251.271882611,308.503443223,466.734993895
2001-05-23,80.6364261038,114.019009572,175.260115198,253.733851918,309.175489014,467.4832404
2001-05-22,78.7850444502,113.704714986,177.117529122,256.223225545,310.19355886,468.346962141
2001-05-21,80.2785035555,115.388306268,179.770637025,258.797532677,311.077418271,469.167646419
2001-05-18,83.9531779729,118.33752255,182.903222433,261.3797668,311.835166649,469.948446415
2001-05-17,88.3030940194,121.687036614,186.217830753,263.96480623,312.534603432,470.711990778
2001-05-16,94.0278000034,125.825303871,189.804185462,266.505274094,313.113600883,471.438353943
2001-05-15,100.96002924,130.920556887,193.638997256,268.829730552,313.419171367,472.078438045
2001-05-14,84.8241882034,129.57606352,195.044423048,269.139986822,312.333074286,472.270939039
2001-05-11,90.6749600663,133.87868978,198.740238931,271.753054087,312.94216176,473.018281466
2001-05-10,89.4071120927,134.107185503,201.315539619,274.473502932,313.876216611,473.870353705
2001-05-09,94.8650335701,138.160475447,205.108321181,277.127698918,314.458812959,474.61312555
2001-05-08,100.907814143,142.495321909,209.034489265,279.774316227,314.990082888,475.342153503
2001-05-04,107.966787947,147.43565726,213.155148406,282.360222625,315.410366242,476.038875207
2001-05-03,111.193826688,152.821471533,216.967614514,283.961533152,314.986556792,476.471637224
2001-05-02,117.706223217,156.841510754,220.952728665,286.72520268,315.586364752,477.23229907
2001-05-01,121.93637487,159.262786932,224.637896898,289.580341354,316.311587178,478.033927799
2001-04-30,118.889222154,157.881401524,227.519880223,292.486498748,317.218612947,478.892569361
2001-04-27,114.335031088,156.515002089,230.719069072,295.425500284,318.054557663,479.731333537
2001-04-26,118.934002703,160.254534484,235.194994447,298.130429293,318.406419284,480.423919106
2001-04-25,126.459019891,165.660042333,239.943280049,300.547705263,318.442865485,481.022500642
2001-04-24,133.260303774,170.614235579,244.758296382,303.080384985,318.560010915,481.650780398
2001-04-23,136.389249182,173.829094679,249.479975343,305.845959757,318.887057062,482.347580242
2001-04-20,136.300674498,176.010877233,254.201235184,308.680953927,319.259633636,483.061719524
2001-04-19,134.201598351,178.09999933,259.078734072,311.487916689,319.563302035,483.758532229
2001-04-18,122.881067893,177.905509106,263.835701571,314.420051335,319.980796818,484.49307082
2001-04-17,127.912521567,184.3284998,268.977414212,316.166321467,319.31510175,484.903173701
2001-04-12,131.477735625,190.729300487,274.252217923,317.955337626,318.665991039,485.32677401
2001-04-11,130.036770877,196.395999394,279.742849028,319.991681935,318.188459863,485.810373576
2001-04-10,120.958527697,201.250297298,285.384232557,322.186407432,317.817442941,486.333094218
2001-04-09,128.097653608,209.444177417,289.457517146,322.121387581,315.870624711,486.390478177
2001-04-06,137.595695036,216.884744204,291.80023975,320.493695509,312.98527331,486.18316922
2001-04-05,147.613074801,225.044222021,294.568956777,319.132717438,310.279805673,486.053938572
2001-04-04,156.129313313,229.857127139,293.941678599,315.144038455,306.099885055,485.514751009
2001-04-03,155.623746896,228.577619179,288.9980042,308.218258552,300.401526239,484.572944116
2001-04-02,167.034158849,236.033592708,290.341360009,305.709120164,297.191356773,484.391246006
2001-03-30,179.418932153,244.099356674,291.913812597,303.319054039,294.085329638,484.265347617
2001-03-29,191.627245331,250.284997279,291.363027102,299.284759748,290.107881466,483.927284989
2001-03-28,205.433861564,257.474356517,291.36015623,295.624323116,286.393911103,483.694390215
2001-03-27,218.167481949,267.848526128,294.838147312,294.705819248,284.272636779,483.909213061
2001-03-26,232.948902067,273.330754785,292.408903303,289.135309541,279.618335879,483.484484963
2001-03-23,228.065387278,261.593503887,277.558201644,275.387001383,270.985085462,482.074721333
2001-03-22,189.170909084,228.905209625,250.605164966,254.725105982,259.476421082,480.047697532
2001-03-21,184.830879259,219.838246229,239.057041401,244.014413447,252.994000763,479.378680331
2001-03-20,191.413169422,218.595692696,232.866381482,236.906522936,248.394934534,479.203860335
2001-03-19,179.128749662,203.448468914,217.721408872,224.424166943,241.535980509,478.563229544
2001-03-16,156.638822698,182.745462841,199.99655568,210.902518811,234.553156191,477.964204414
2001-03-15,157.636124386,178.427561851,192.970352266,204.137673118,230.733122369,478.089457026
